stop_id,stop_name,stop_lat,stop_lon,stop_address,stop_url,level_id,location_type,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood
place-alfcl,Alewife,42.39583,-71.141287,"Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140",https://www.mbta.com/stops/place-alfcl,,1,1,Cambridge,,,,,,,,,,,
place-alsgr,Allston Street,42.348701,-71.137955,"Allston St and Commonwealth Ave, Boston, MA 02134",https://www.mbta.com/stops/place-alsgr,,1,2,Boston,,,,,,,,,,,
place-amory,Amory Street,42.350992,-71.114748,"Commonwealth Ave and Amory St, Boston, MA 02215",https://www.mbta.com/stops/place-amory,,1,1,Boston,,,,,,,,,,,
place-andrw,Andrew,42.330154,-71.057655,"Dorchester Ave and Southhampton St, South Boston, MA 02127",https://www.mbta.com/stops/place-andrw,,1,1,Boston,,,,,,,,,,,
place-aport,Airport,42.374262,-71.030395,"Transportation Way and Service Rd, Boston, MA 02128",https://www.mbta.com/stops/place-aport,,1,1,Boston,,,,,,,,,,,
place-aqucl,Aquarium,42.359784,-71.051652,"Atlantic Ave and State St, Boston, MA 02120",https://www.mbta.com/stops/place-aqucl,,1,1,Boston,,,,,,,,,,,
place-armnl,Arlington,42.351902,-71.070893,"Arlington St and Boylston St, Boston, MA 02116",https://www.mbta.com/stops/place-armnl,,1,1,Boston,,,,,,,,,,,
place-asmnl,Ashmont,42.28452,-71.063777,"Dorchester Ave and Ashmont St, Boston, MA 02124",https://www.mbta.com/stops/place-asmnl,,1,1,Boston,,,,,,,,,,,
place-astao,Assembly,42.392811,-71.077257,"499 Foley St, Somerville, MA 02145",https://www.mbta.com/stops/place-astao,,1,1,Somerville,,,,,,,,,,,
place-babck,Babcock Street,42.351616,-71.119924,"Commonwealth Ave and Babcock St, Boston, MA 02215",https://www.mbta.com/stops/place-babck,,1,1,Boston,,,,,,,,,,,
place-balsq,Ball Square,42.399889,-71.111003,"646 Boston Ave, Somerville, MA 02144",https://www.mbta.com/stops/place-balsq,,1,1,Medford,,,,,,,,,,,
place-bbsta,Back Bay,42.34735,-71.075727,"145 Dartmouth St Boston, MA 02116",https://www.mbta.com/stops/place-bbsta,,1,1,Boston,,,,,,,,,,,
place-bckhl,Back of the Hill,42.330139,-71.111313,"100 South Huntington Ave, Boston, MA 02130",https://www.mbta.com/stops/place-bckhl,,1,2,Boston,,,,,,,,,,,
